# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 183K of event 'cycles:ppp'
# Event count (approx.): 186916144949
#
# Overhead  Command  Shared Object            Symbol                                                                                                                                            
# ........  .......  .......................  ..................................................................................................................................................
#
     0.00%  gmx      [kernel.kallsyms]        [k] release_pages
     0.00%  gmx      libc-2.27.so             [.] __mempcpy_avx_unaligned_erms
     0.00%  gmx      [kernel.kallsyms]        [k] rcu_cblist_dequeue
     0.00%  gmx      [kernel.kallsyms]        [k] put_cpu_partial
     0.00%  gmx      [kernel.kallsyms]        [k] smp_call_function_many
     0.00%  gmx      libc-2.27.so             [.] pthread_mutex_lock
     0.00%  gmx      [kernel.kallsyms]        [k] file_free_rcu
     0.00%  gmx      [kernel.kallsyms]        [k] put_prev_entity
     0.00%  gmx      libgromacs.so.5.0.0      [.] do_mtop
     0.00%  gmx      [kernel.kallsyms]        [k] __mod_zone_page_state
     0.00%  gmx      [kernel.kallsyms]        [k] _raw_spin_lock_irq
     0.00%  gmx      [kernel.kallsyms]        [k] ext4_do_update_inode
     0.00%  gmx      [kernel.kallsyms]        [k] jbd2_journal_dirty_metadata
     0.00%  gmx      [kernel.kallsyms]        [k] percpu_counter_add_batch
     0.00%  gmx      libgromacs.so.5.0.0      [.] add_blocks_enxframe@plt
     0.00%  gmx      [kernel.kallsyms]        [k] fsnotify_add_event
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx_step_str@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] mdoutf_write_to_trajectory_files
     0.00%  gmx      [kernel.kallsyms]        [k] generic_perform_write
     0.00%  gmx      libgromacs.so.5.0.0      [.] do_enx
     0.00%  gmx      [kernel.kallsyms]        [k] __intel_pmu_enable_all.constprop.23
     0.00%  gmx      libgromacs.so.5.0.0      [.] sum_dhdl
     0.00%  gmx      [kernel.kallsyms]        [k] enqueue_entity
     0.00%  gmx      [kernel.kallsyms]        [k] __accumulate_pelt_segments
     0.00%  gmx      [kernel.kallsyms]        [k] update_vsyscall
     0.00%  gmx      libgromacs.so.5.0.0      [.] clearForceBuffer@plt
     0.00%  gmx      [kernel.kallsyms]        [k] __fdget_pos
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::ImdSession::Impl::run@plt
     0.00%  gmx      [kernel.kallsyms]        [k] __tty_buffer_request_room
     0.00%  gmx      libgromacs.so.5.0.0      [.] calc_vir
     0.00%  gmx      libgromacs.so.5.0.0      [.] init_forcerec
     0.00%  gmx      [kernel.kallsyms]        [k] tty_insert_flip_string_fixed_flag
     0.00%  gmx      [kernel.kallsyms]        [k] rw_verify_area
     0.00%  gmx      libc-2.27.so             [.] __mpn_extract_double
     0.00%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::GridSet::putOnGrid
     0.00%  gmx      libgromacs.so.5.0.0      [.] calc_1se<InteractionList>
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx_omp_nthreads_get
     0.00%  gmx      [kernel.kallsyms]        [k] lru_cache_add_active_or_unevictable
     0.00%  gmx      libgromacs.so.5.0.0      [.] do_force_listed
