# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles:ppp'
# Event count (approx.): 477625636818
#
# Overhead  Command  Shared Object                         Symbol                                                                                                                  
# ........  .......  ....................................  ........................................................................................................................
#
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ec9
     0.00%  gmx      [kernel.kallsyms]                     [k] __free_pages
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002709a7
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_note_context_switch
     0.00%  gmx      [kernel.kallsyms]                     [k] rb_next
     0.00%  gmx      [kernel.kallsyms]                     [k] __handle_mm_fault
     0.00%  gmx      libc-2.27.so                          [.] __strnlen_avx2
     0.00%  gmx      [kernel.kallsyms]                     [k] find_busiest_group
     0.00%  gmx      libc-2.27.so                          [.] __mpn_extract_double
     0.00%  gmx      [kernel.kallsyms]                     [k] ctx_sched_out
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000019210
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000116bc7
     0.00%  gmx      libgromacs.so.5.0.0                   [.] atan2f@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] tty_write
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297fb4
     0.00%  gmx      [kernel.kallsyms]                     [k] ktime_get
     0.00%  gmx      [kernel.kallsyms]                     [k] kmem_cache_free
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026ef40
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002708ce
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f15d8
     0.00%  gmx      libc-2.27.so                          [.] _IO_default_xsputn
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::Constraints::Impl::apply
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e8a
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::csettle
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::getCudartError
     0.00%  gmx      [kernel.kallsyms]                     [k] tick_sched_do_timer
     0.00%  gmx      [kernel.kallsyms]                     [k] filemap_map_pages
     0.00%  gmx      libgromacs.so.5.0.0                   [.] set_pbc_dd
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2fa2
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv025885rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002fe904
     0.00%  gmx      [kernel.kallsyms]                     [k] __softirqentry_text_start
     0.00%  gmx      [kernel.kallsyms]                     [k] find_get_entry
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c53da
     0.00%  gmx      [kernel.kallsyms]                     [k] __pagevec_lru_add_fn
     0.00%  gmx      [kernel.kallsyms]                     [k] __mod_node_page_state
     0.00%  gmx      [kernel.kallsyms]                     [k] copy_page
     0.00%  gmx      [kernel.kallsyms]                     [k] mark_page_accessed
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000241c2a
     0.00%  gmx      libgromacs.so.5.0.0                   [.] mk_mshift
     0.00%  gmx      [kernel.kallsyms]                     [k] select_idle_sibling
     0.00%  gmx      [kernel.kallsyms]                     [k] tick_program_event
     0.00%  gmx      [kernel.kallsyms]                     [k] __get_locked_pte
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::Grid::setCellIndices
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e8d
     0.00%  gmx      [kernel.kallsyms]                     [k] task_tick_fair
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ebb
     0.00%  gmx      [kernel.kallsyms]                     [k] cpuacct_account_field
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019de9b
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2fb0
     0.00%  gmx      [kernel.kallsyms]                     [k] update_wall_time
     0.00%  gmx      libgromacs.so.5.0.0                   [.] calc_listed
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270534
     0.00%  gmx      [kernel.kallsyms]                     [k] enqueue_task_fair
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000001718a
     0.00%  gmx      [kernel.kallsyms]                     [k] account_entity_enqueue
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270509
     0.00%  gmx      [kernel.kallsyms]                     [k] apic_timer_interrupt
     0.00%  gmx      [kernel.kallsyms]                     [k] smp_apic_timer_interrupt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002704f0
     0.00%  gmx      libpthread-2.27.so                    [.] __pthread_mutex_unlock_full
     0.00%  gmx      [kernel.kallsyms]                     [k] idle_cpu
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027073b
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87e2
     0.00%  gmx      libgromacs.so.5.0.0                   [.] wallcycle_stop
     0.00%  gmx      [kernel.kallsyms]                     [k] hid_field_extract
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7e9e
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_launch_kernel
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8ee7
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] 0x0000000000304aaa
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f18cc
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027050e
     0.00%  gmx      [kernel.kallsyms]                     [k] tick_sched_timer
