# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles:ppp'
# Event count (approx.): 477625636818
#
# Overhead  Command  Shared Object                         Symbol                                                                                                                  
# ........  .......  ....................................  ........................................................................................................................
#
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270995
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1305
     0.00%  gmx      [kernel.kallsyms]                     [k] native_flush_tlb_global
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv006760rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70a5
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f6ddc
     0.00%  gmx      libc-2.27.so                          [.] __mpn_mul
     0.00%  gmx      [kernel.kallsyms]                     [k] vma_interval_tree_insert
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bee53
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f17de
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv025892rm
     0.00%  gmx      [kernel.kallsyms]                     [k] usb_hcd_submit_urb
     0.00%  gmx      [kernel.kallsyms]                     [k] merge_gpu_chunk
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002706e4
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_channel_is_value_completed
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000116c13
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f9930
     0.00%  gmx      libgromacs.so.5.0.0                   [.] haveCpuListedForces
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002cfcc0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270666
     0.00%  gmx      [kernel.kallsyms]                     [k] __x86_indirect_thunk_r13
     0.00%  gmx      [kernel.kallsyms]                     [k] group_balance_cpu
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e9f04
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f19cc
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027053b
     0.00%  gmx      libc-2.27.so                          [.] malloc_consolidate
     0.00%  gmx      [kernel.kallsyms]                     [k] rb_insert_color
     0.00%  gmx      [kernel.kallsyms]                     [k] fput
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002f4890
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv010532rm
     0.00%  gmx      [kernel.kallsyms]                     [k] down_read
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv026304rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv020582rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv018284rm
     0.00%  gmx      [kernel.kallsyms]                     [k] __get_free_pages
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8da0
     0.00%  gmx      [kernel.kallsyms]                     [k] __change_page_attr_set_clr
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1913
     0.00%  gmx      [kernel.kallsyms]                     [k] inc_enq
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv028367rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f744e
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297e5d
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv003701rm
     0.00%  gmx      [kernel.kallsyms]                     [k] free_pcppages_bulk
     0.00%  gmx      [kernel.kallsyms]                     [k] reserve_memtype
     0.00%  gmx      [kernel.kallsyms]                     [k] xhci_check_args
     0.00%  gmx      libgromacs.so.5.0.0                   [.] wallcycle_sub_start
     0.00%  gmx      [kernel.kallsyms]                     [k] new_sync_write
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv032873rm
     0.00%  gmx      [kernel.kallsyms]                     [k] down_read_trylock
     0.00%  gmx      [kernel.kallsyms]                     [k] _mix_pool_bytes
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f82a
     0.00%  gmx      [kernel.kallsyms]                     [k] run_rebalance_domains
     0.00%  gmx      [kernel.kallsyms]                     [k] note_interrupt
     0.00%  gmx      [vdso]                                [.] __vdso_time
     0.00%  gmx      libgromacs.so.5.0.0                   [.] inputrecNeedMutot@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv023029rm
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_va_space_get_gpu_by_uuid_with_gpu_va_space
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv020507rm
     0.00%  gmx      [kernel.kallsyms]                     [k] xhci_urb_enqueue
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f15e3
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270502
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021203rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e11fe
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_page_table_range_entry_address.constprop.22
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f19d6
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001be068
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002b7ff0
     0.00%  gmx      [kernel.kallsyms]                     [k] tlb_finish_mmu
     0.00%  gmx      [kernel.kallsyms]                     [k] clflush_cache_range
     0.00%  gmx      libgromacs.so.5.0.0                   [.] nonbonded_verlet_t::setAtomProperties@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] do_nmi
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv010162rm
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_push_set_flag
     0.00%  gmx      libc-2.27.so                          [.] _IO_sputbackc
     0.00%  gmx      [kernel.kallsyms]                     [k] get_futex_key_refs.isra.13
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv032834rm
     0.00%  gmx      [kernel.kallsyms]                     [k] credit_entropy_bits
     0.00%  gmx      [kernel.kallsyms]                     [k] file_remove_privs
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::contextState::applyChanges
     0.00%  gmx      [kernel.kallsyms]                     [k] prepare_transfer
     0.00%  gmx      [kernel.kallsyms]                     [k] policy_node
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f2b6
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297590
     0.00%  gmx      [kernel.kallsyms]                     [k] sys_write
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv016797rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021032rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002b9e87
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001dfe7f
     0.00%  gmx      [kernel.kallsyms]                     [k] on_each_cpu
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298c14
     0.00%  gmx      [kernel.kallsyms]                     [k] file_ra_state_init
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_hal_tlb_invalidate_membar
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000299590
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_hal_pascal_host_membar_gpu
     0.00%  gmx      [kernel.kallsyms]                     [k] pat_pagerange_is_ram
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008425rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021175rm
     0.00%  gmx      [kernel.kallsyms]                     [k] __unlock_page_memcg
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002ffb48
     0.00%  gmx      [kernel.kallsyms]                     [k] common_perm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] omp_get_num_threads@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] haveCpuListedForces@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv001170rm
     0.00%  gmx      [kernel.kallsyms]                     [k] generic_update_time
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001da4f5
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000300548
     0.00%  gmx      [kernel.kallsyms]                     [k] ktime_get_update_offsets_now
     0.00%  gmx      [kernel.kallsyms]                     [k] __inode_permission
     0.00%  gmx      [kernel.kallsyms]                     [k] xhci_get_endpoint_index
     0.00%  gmx      [kernel.kallsyms]                     [k] kfree
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::formatString[abi:cxx11]@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_irq_enter
     0.00%  gmx      [kernel.kallsyms]                     [k] sys_madvise
     0.00%  gmx      libc-2.27.so                          [.] __ctype_init
     0.00%  gmx      [kernel.kallsyms]                     [k] find_vma
     0.00%  gmx      [kernel.kallsyms]                     [k] wake_q_add
     0.00%  gmx      [kernel.kallsyms]                     [k] security_mmap_file
     0.00%  gmx      libgromacs.so.5.0.0                   [.] save_malloc_aligned
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000001684e
     0.00%  gmx      ld-2.27.so                            [.] _dl_runtime_resolve_xsavec
     0.00%  gmx      [kernel.kallsyms]                     [k] vmacache_find
     0.00%  gmx      [kernel.kallsyms]                     [k] flush_signal_handlers
     0.00%  gmx      [kernel.kallsyms]                     [k] account_kernel_stack
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018fe0
     0.00%  gmx      libc-2.27.so                          [.] __clone
     0.00%  gmx      [kernel.kallsyms]                     [k] finish_task_switch
     0.00%  gmx      [kernel.kallsyms]                     [k] __skb_wait_for_more_packets
     0.00%  gmx      [kernel.kallsyms]                     [k] end_repeat_nmi
     0.00%  gmx      [kernel.kallsyms]                     [k] futex_wait
     0.00%  gmx      [kernel.kallsyms]                     [k] __perf_event_task_sched_in
     0.00%  gmx      [kernel.kallsyms]                     [k] nmi_cpu_backtrace
     0.00%  gmx      [kernel.kallsyms]                     [k] nmi_restore
     0.00%  gmx      [kernel.kallsyms]                     [k] __set_cpus_allowed_ptr
     0.00%  gmx      [kernel.kallsyms]                     [k] nmi_cpu_backtrace_handler
     0.00%  gmx      [kernel.kallsyms]                     [k] printk_nmi_exit
     0.00%  gmx      [kernel.kallsyms]                     [k] nmi_handle
     0.00%  gmx      [kernel.kallsyms]                     [k] perf_sample_event_took
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_nmi_exit
     0.00%  gmx      [kernel.kallsyms]                     [k] perf_event_nmi_handler
     0.00%  perf     [kernel.kallsyms]                     [k] native_sched_clock
     0.00%  gmx      [kernel.kallsyms]                     [k] intel_pmu_handle_irq
     0.00%  gmx      [kernel.kallsyms]                     [k] native_apic_msr_write
     0.00%  gmx      [kernel.kallsyms]                     [k] intel_bts_enable_local
     0.00%  perf     [kernel.kallsyms]                     [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
